,author,loyalty_score,FUD_ratio,num_of_messages_normalized,meaningful_msg_ratio
280,Neil,0.0,0.24,8.17,0.13
281,FoundTheWei,0.0,0.11,13.41,0.13
282,cthulhu_risen,0.0,0.0,0.5,0.36
283,Brian Park,0.0,0.0,0.65,0.16
284,Bee926,0.0,0.17,1.8,0.1
285,Wind,0.0,0.27,3.54,0.15
286,Tangled Zeuseidon,0.0,0.0,1.47,0.12
287,Blackw3bb,0.0,0.0,5.88,0.11
288,lovi,0.0,0.0,0.58,0.12
289,mjade,0.0,0.18,4.33,0.15
290,[𝐓𝐇𝐂] rem3600 | Vapos Locos,0.0,0.0,0.69,0.07
291,kingknight,0.0,0.0,0.33,0.22
292,manloi,0.0,0.17,6.87,0.13
293,AloneZ,0.0,0.0,14.71,0.09
294,Cliff,0.0,0.0,0.39,0.24
295,madbeats,0.0,0.0,1.24,0.1
296,0xIceman,0.0,0.0,5.34,0.14
297,Pyrorambo,0.0,0.0,1.08,0.16
298,0xnarc,0.0,0.0,0.39,0.22
299,Yousef,0.0,0.0,0.32,0.07
300,smogs,0.0,0.24,6.34,0.14
301,Threshold,0.0,0.0,1.29,0.13
302,CarmenChen,0.0,0.12,8.86,0.12
303,•Bogs•,0.0,0.0,0.75,0.15
304,Piemanny,0.0,0.0,1.02,0.09
305,Prashant2001,0.0,0.07,30.15,0.11
306,Hamdan,0.0,0.0,0.31,0.09
307,FreddieMac,0.0,0.05,41.05,0.09
308,affu,0.0,0.0,0.33,0.13
309,strife777,0.0,0.33,10.0,0.12
310,moneyT,0.0,0.0,0.77,0.16
311,Honkz,0.0,0.07,54.55,0.09
312,Unusual Globe Ring,0.0,0.0,0.74,0.16
313,Soy Capitan,0.0,0.0,1.15,0.23
314,goldenhour,0.0,0.17,1.97,0.2
315,UnicornDroppingz,0.0,0.0,0.37,0.24
316,PWL971,0.0,0.0,0.4,0.23
317,bni,0.0,0.0,0.32,0.19
318,boba-chad,0.0,0.0,0.69,0.16
319,schismlj,0.0,0.29,1.54,0.11
320,BrenstoneSlayerofMigsonFlatEarth,0.0,0.12,8.55,0.11
321,Akshay_rv,0.0,0.0,4.4,0.15
322,Christoph,0.0,0.0,0.31,0.17
323,V__C,0.0,0.5,12.5,0.22
324,0trippie0,0.0,0.02,55.84,0.09
325,MrH,0.0,0.0,2.52,0.13
326,TerryPines,0.0,0.0,0.34,0.21
327,MrLily,0.0,0.06,23.74,0.13
328,binhla1212,0.0,0.0,0.32,0.22
329,kyo0217,0.0,0.17,4.12,0.22
330,green dildo,0.0,0.0,0.62,0.08
331,0xRamon,0.0,0.0,0.94,0.18
332,Marvin,0.0,0.2,1.85,0.07
333,Lily31,0.0,0.0,0.38,0.07
334,Miky,0.0,0.0,2.71,0.14
335,RonnyFish,0.0,0.2,1.73,0.18
336,Jamtram,0.0,0.12,11.81,0.09
337,inhakiller,0.0,0.0,0.32,0.22
338,Edwardmain,0.0,0.14,2.59,0.15
339,jaatkanpuria,0.0,0.0,0.74,0.2
340,rastapop,0.0,0.0,1.06,0.13
341,TJCooks,0.0,0.0,0.32,0.14
342,gauravehdr,0.0,0.0,0.38,0.11
343,jlkahnl,0.0,0.2,1.97,0.2
344,Gatsch,0.0,0.0,0.37,0.24
345,ParanoidPurchaser,0.0,0.15,4.8,0.2
346,Chrissy1,0.0,0.0,0.31,0.11
347,Psylem,0.0,0.28,11.03,0.13
348,FiddleLeaf,0.0,0.0,1.04,0.09
349,Crypto_Crier,0.0,0.2,1.41,0.13
350,oven,0.0,0.0,0.37,0.24
351,pook,0.0,0.0,0.31,0.13
352,jesa127,0.0,0.0,2.6,0.12
353,Corw,0.0,0.0,0.32,0.17
354,Fright3n,0.0,0.0,2.63,0.17
355,Empire,0.0,0.12,31.62,0.11
356,OnyX,0.0,0.0,0.38,0.16
357,하늘,0.0,0.0,0.33,0.09
358,Louis,0.0,0.02,56.32,0.07
359,awome,0.0,0.0,24.49,0.09
360,rew003 🍌,0.0,0.0,0.33,0.15
361,Tempo,0.0,0.0,12.45,0.09
362,Skullkill,0.0,0.0,0.78,0.16
363,jrobbio,0.0,0.12,2.89,0.1
364,Markokw,0.0,0.0,3.69,0.11
365,Alfred,0.0,0.0,1.15,0.11
366,Oolong Musk,0.0,0.33,0.97,0.11
367,wadde,0.0,0.0,0.73,0.16
368,gnw1,0.0,0.0,0.33,0.2
369,pli,0.0,0.0,0.32,0.19
370,dmaz,0.0,0.0,1.21,0.25
371,Roro,0.0,0.0,1.48,0.16
372,Krypto_Kal_el,0.0,0.0,10.06,0.1
373,JusticeOTP,0.0,0.0,3.7,0.13
374,Link2hearth,0.0,0.42,3.74,0.15
375,KalleFar,0.0,0.0,1.67,0.09
376,Rstm,0.0,0.0,0.37,0.2
377,asekh,0.0,0.0,0.31,0.15
378,場不系疵大,0.0,0.0,0.37,0.21
379,aleluia,0.0,0.0,0.63,0.11
380,zeratl,0.0,0.0,0.75,0.21
381,apeishai,0.0,0.0,0.37,0.09
382,coynebit,0.0,0.1,3.85,0.09
383,DavidH,0.0,0.0,0.64,0.11
384,sideshowkevin,0.0,0.1,3.21,0.17
385,dghelm,0.0,0.0,0.3,0.0
386,cryptorooster,0.0,0.0,0.67,0.16
387,Rhoward,0.0,0.0,0.37,0.15
388,Mattnart,0.0,0.0,0.31,0.07
389,JohnnyCrypto,0.0,0.0,3.61,0.19
390,hellooooo,0.0,0.0,0.36,0.2
391,Trip,0.0,0.0,0.96,0.07
392,UMPlz,0.0,0.2,2.46,0.26
393,MattBob,0.0,0.2,1.6,0.15
394,electriccarcable1995,0.0,0.0,0.76,0.17
395,Batın Aydın,0.0,0.12,15.85,0.09
396,joeywong,0.0,0.0,1.08,0.14
397,Asac,0.0,0.1,3.11,0.08
398,anton42069,0.0,0.25,6.19,0.14
399,blahblahblah,0.0,0.0,0.37,0.25
400,cibiartz,0.0,0.0,0.37,0.17
401,binance9507,0.0,0.12,40.88,0.13
402,Runistel,0.0,0.0,0.39,0.19
403,Peternixon,0.0,0.2,1.92,0.13
404,crash,0.0,0.0,1.94,0.16
405,Haha Shatterdive,0.0,0.0,1.15,0.13
406,viper,0.0,0.0,0.33,0.21
407,hund123,0.0,0.0,1.89,0.11
408,chirch,0.0,0.0,0.37,0.15
409,JB_NFT5,0.0,0.0,1.51,0.17
410,majcoin,0.0,0.0,0.34,0.13
411,mattyb,0.0,0.0,0.76,0.19
412,Coffee_Crypto_Chaos,0.0,0.0,2.24,0.14
413,Wisli,0.0,0.0,0.74,0.16
414,A M,0.0,0.0,0.82,0.14
415,FletcherSyntax,0.0,0.0,1.75,0.21
416,BLSH100x,0.0,0.0,0.36,0.23
417,someonesomeone,0.0,0.0,0.38,0.17
418,bbchip13,0.0,0.0,0.74,0.13
419,TAMS,0.0,0.0,0.65,0.11
420,Amare,0.0,0.0,1.81,0.09
421,stleath,0.0,0.17,2.96,0.15
422,Power,0.0,0.0,0.34,0.13
423,SnX,0.0,0.0,0.74,0.17
424,eaparsley,0.0,0.0,1.12,0.16
425,MetaSaviors BOT | 🤖,0.0,0.05,8.27,0.09
426,rafasa,0.0,0.0,1.11,0.18
427,valauvm,0.0,0.14,40.0,0.11
428,法老,0.0,0.15,4.14,0.1
429,will_moriarty,0.0,0.0,2.29,0.14
430,Wizrod_,0.0,0.0,0.33,0.13
431,Crawler,0.0,0.0,1.54,0.13
432,trum,0.0,0.0,0.73,0.12
433,EltomJonás 🌟⚽🎬💾,0.0,0.0,1.48,0.17
434,Trishy | Tapioca Town 🏛,0.0,0.0,3.7,0.25
435,efwefwfwfwe,0.0,0.0,0.66,0.11
436,Juroga,0.0,0.0,0.37,0.23
437,DabOnItWagwam,0.0,0.06,6.11,0.13
438,DeFiCandy,0.0,0.0,2.0,0.07
439,metavorz,0.0,0.0,1.39,0.16
440,Ohmar,0.0,0.0,1.53,0.14
441,Dr. Brrrrr,0.0,0.39,11.79,0.17
442,thorrrtuga,0.0,0.14,9.72,0.19
443,mangomango,0.0,0.0,1.22,0.16
444,malcommclarenX,0.0,0.0,1.42,0.14
445,Boerab,0.0,0.0,1.98,0.21
