,author,loyalty_score,FUD_ratio,num_of_messages_normalized,meaningful_msg_ratio
1132,Hyperion,0.0,0.17,3.77,0.13
1133,Chaneglo,0.0,0.0,1.2,0.18
1134,technique,0.0,0.5,0.74,0.15
1135,cryptodapper,0.0,0.0,4.65,0.12
1136,crypto0009,0.0,0.0,1.69,0.07
1137,Captain_Levi,0.0,0.0,0.85,0.09
1138,xuxu2,0.0,0.0,2.04,0.07
1139,newonemama,0.0,0.0,4.55,0.09
1140,Hyderix,0.0,0.0,0.85,0.07
1141,Lucien.d,0.0,0.0,3.19,0.07
1142,Yuz,0.0,0.0,2.54,0.07
1143,NoobiemcNoob,0.0,0.0,1.15,0.11
1144,FeniXx,0.0,0.53,5.64,0.11
1145,howtobefaster,0.0,0.0,1.59,0.18
1146,jasperbruce,0.0,0.0,3.37,0.07
1147,wanswp,0.0,0.0,6.82,0.09
1148,nearxin,0.0,0.0,6.82,0.09
1149,adityah,0.0,0.0,6.82,0.09
1150,viny,0.0,0.0,6.82,0.09
1151,Legendzues,0.0,0.27,8.09,0.09
1152,Norttone,0.0,0.0,8.82,0.11
1153,Admins,0.0,0.0,0.89,0.07
1154,Charlymtl,0.0,0.0,2.88,0.0
1155,emlotto1974,0.0,0.0,0.88,0.07
1156,paul {FRESH},0.0,0.0,0.89,0.07
1157,sahraadali,0.0,0.0,6.25,0.09
1158,urlybrd.eth,0.0,0.0,3.06,0.07
1159,Meta Joseon / timmyroh,0.0,0.29,15.0,0.14
1160,Pijush,0.0,0.0,1.1,0.1
1161,Syahril.,0.0,0.0,4.55,0.08
1162,jefrilex,0.0,0.0,6.67,0.09
1163,makemerich,0.0,0.0,6.82,0.09
1164,mehditak,0.0,0.0,1.87,0.07
1165,heyunshi,0.0,0.22,6.62,0.09
1166,Ayakabi,0.0,0.0,3.64,0.15
1167,xiaohua,0.0,0.0,7.5,0.07
1168,Pen,0.0,0.0,1.25,0.24
1169,provia.eth,0.0,0.5,0.76,0.11
1170,lovebite_boba,0.0,0.0,2.73,0.09
1171,Instiinct,0.0,0.0,1.49,0.15
1172,Boba Town,0.0,0.0,7.69,0.15
1173,wahid05,0.0,0.0,6.82,0.07
1174,heathcliff_18,0.0,0.12,16.33,0.11
1175,Hazeyn,0.0,0.0,1.65,0.03
1176,吴达人,0.0,0.0,1.05,0.07
1177,lhgdd,0.0,0.0,0.93,0.07
1178,jns,0.0,0.5,2.31,0.14
1179,Anjel Elina,0.0,0.0,3.57,0.07
1180,pier,0.0,0.0,4.35,0.11
1181,Dangalak,0.0,0.0,5.36,0.17
1182,shangdar22,0.0,0.0,0.94,0.07
1183,Marcio,0.0,0.29,5.26,0.16
1184,0x_Hammer,0.0,0.33,1.1,0.13
1185,Angela Santiago,0.0,0.0,1.47,0.16
1186,leslierosaroso99,0.0,0.0,1.15,0.09
1187,lcy1986,0.0,0.0,2.11,0.07
1188,Talus,0.0,0.0,0.95,0.07
1189,群主的大饼,0.0,0.0,1.04,0.07
1190,roshy,0.0,0.0,1.22,0.19
1191,Diegane N.,0.0,0.0,1.01,0.07
1192,Airdrophunter,0.0,0.17,4.41,0.09
1193,MissDoge22,0.0,0.0,0.91,0.07
1194,like,0.0,0.0,2.04,0.07
1195,OnchainmonkeyMod,0.0,0.0,4.55,0.14
1196,Bored_alchemist,0.0,0.0,4.35,0.11
1197,jaredmtafoya,0.0,0.0,2.08,0.08
1198,aining,0.0,0.0,2.11,0.07
1199,Adeoniye,0.0,0.25,2.92,0.1
1200,Andycsh,0.0,0.0,1.03,0.0
1201,Foxymama63,0.0,0.0,1.43,0.09
1202,JackM,0.0,0.0,2.15,0.07
1203,Anil10,0.0,0.0,1.09,0.07
1204,parvezdjp,0.0,0.0,3.3,0.07
1205,Crypto,0.0,0.0,6.82,0.09
1206,Corwintines,0.0,0.0,1.01,0.07
1207,jay ar,0.0,0.5,0.74,0.14
1208,Qgzt,0.0,0.0,6.82,0.09
1209,nyo723327,0.0,0.0,1.02,0.07
1210,Lin5376,0.0,0.0,1.02,0.07
1211,kreon.maltiec,0.0,0.0,1.02,0.07
1212,Utsukushī,0.0,0.0,6.02,0.0
1213,melek2340,0.0,0.0,1.02,0.07
1214,zulfiya2552,0.0,0.0,1.02,0.07
1215,hasan2552,0.0,0.0,1.02,0.07
1216,yangguang,0.0,0.0,1.06,0.0
1217,thenickname,0.0,0.0,1.05,0.07
1218,SONU,0.0,0.0,2.15,0.07
1219,huijun,0.0,0.0,1.03,0.07
1220,Gilgamesh,0.0,0.0,1.03,0.07
1221,Wantwang,0.0,0.0,1.03,0.07
1222,metaverseking.bit,0.0,0.0,1.03,0.07
1223,k139,0.0,0.0,1.03,0.07
1224,marthoutic,0.0,0.0,1.03,0.07
1225,be,0.0,0.0,1.03,0.07
1226,Cartier,0.0,0.0,1.03,0.07
1227,lanque,0.0,0.0,1.03,0.07
1228,abelbourn52,0.0,0.0,1.03,0.07
1229,idoy107,0.0,0.0,2.13,0.07
1230,godM,0.0,0.0,1.06,0.07
1231,Lutfifitry,0.0,0.0,2.15,0.07
1232,mahasri307,0.0,0.0,1.04,0.07
1233,viola,0.0,0.0,1.04,0.07
1234,candyyy,0.0,0.0,1.04,0.07
1235,lcj1988,0.0,0.0,1.04,0.07
1236,vvoice77,0.0,0.0,1.04,0.07
1237,odekgn3016,0.0,0.0,1.05,0.0
1238,alo091,0.0,0.0,1.06,0.07
1239,PutinUraa,0.0,0.0,4.55,0.09
1240,Rz..,0.0,0.0,4.0,0.09
1241,Till,0.0,0.0,4.0,0.09
1242,BenQ,0.0,0.33,3.32,0.11
1243,didi88888,0.0,0.0,1.05,0.07
1244,Isaak,0.0,0.0,1.05,0.07
1245,daqiang.eth,0.0,0.0,1.05,0.07
1246,JHH,0.0,0.0,1.05,0.07
1247,blushi,0.0,0.0,1.05,0.07
1248,lindd,0.0,0.0,1.05,0.07
1249,doge45734,0.0,0.0,1.05,0.07
1250,feng53357,0.0,0.0,1.05,0.07
1251,fengzi,0.0,0.0,1.05,0.07
1252,POWER PEOPLE,0.0,0.0,1.05,0.07
1253,chouxinn,0.0,0.0,1.05,0.07
1254,wscrj,0.0,0.0,1.05,0.07
1255,tmake,0.0,0.0,1.05,0.07
1256,DFK,0.0,0.0,1.05,0.07
1257,Thomgo,0.0,0.0,1.05,0.07
1258,PIHU,0.0,0.0,2.2,0.07
1259,sily,0.0,0.0,1.05,0.07
1260,Artemisu Giannakopoulou,0.0,0.0,3.49,0.07
1261,zhang199191,0.0,0.0,1.05,0.07
1262,Josybill,0.0,0.0,4.08,0.09
1263,Anointing,0.0,0.0,1.82,0.07
1264,algogentleman,0.0,0.0,4.0,0.08
1265,hylee,0.0,0.0,1.11,0.07
1266,Vladier,0.0,0.0,1.05,0.09
1267,Demouge,0.0,0.0,4.08,0.08
1268,prince,0.0,0.0,1.09,0.07
1269,冰棍,0.0,0.0,1.05,0.07
1270,self,0.0,0.0,2.22,0.07
1271,ershiliushz,0.0,0.0,1.06,0.07
1272,ethcube.eth,0.0,0.0,1.06,0.07
1273,chunc6606,0.0,0.0,1.06,0.07
1274,kexu,0.0,0.0,1.06,0.07
1275,yujiang002,0.0,0.0,1.06,0.07
1276,dw1a,0.0,0.0,1.06,0.07
1277,kek67476,0.0,0.0,1.06,0.07
1278,ckamning,0.0,0.0,1.06,0.07
1279,CdyMwd,0.0,0.0,1.06,0.07
1280,dreamerhew,0.0,0.0,1.06,0.07
1281,MurongXt,0.0,0.0,1.06,0.07
1282,xialuoteng,0.0,0.0,1.06,0.07
1283,qqm369,0.0,0.0,1.06,0.07
1284,Tonjean717,0.0,0.0,1.06,0.07
1285,qiuyaah,0.0,0.0,1.06,0.07
1286,YingHe,0.0,0.0,1.06,0.07
1287,massz,0.0,0.0,1.06,0.07
1288,Lizhengli4Li,0.0,0.0,1.06,0.07
1289,YanBaisha,0.0,0.0,1.06,0.07
1290,JOLIN,0.0,0.0,1.06,0.07
1291,miomio,0.0,0.0,1.06,0.07
1292,momiji,0.0,0.0,1.06,0.07
1293,roubao,0.0,0.0,1.04,0.07
1294,JackJack,0.0,0.0,4.08,0.08
1295,Jianlok,0.0,0.33,2.21,0.13
1296,EzeqB,0.0,0.0,4.17,0.09
1297,Parker,0.0,0.0,4.17,0.09
1298,SOURAV_SMP,0.0,0.0,1.11,0.07
1299,刘先生,0.0,0.0,1.11,0.07
1300,evolve,0.0,0.0,1.04,0.07
1301,rheinrobin,0.0,0.0,4.17,0.08
1302,guocuixia,0.0,0.0,4.17,0.08
1303,jemmawu12,0.0,0.0,1.08,0.07
1304,Landyellow52,0.0,0.0,1.08,0.07
1305,supravat_chakraborty,0.0,0.0,1.08,0.07
1306,zhy1130,0.0,0.0,1.08,0.07
1307,haidai,0.0,0.0,1.08,0.07
1308,no you_,0.0,0.0,3.45,0.09
1309,evolvesMilcho,0.0,0.0,1.09,0.07
1310,miyagi,0.0,0.75,1.44,0.2
1311,DEAD_ASF,0.0,0.0,4.55,0.08
1312,kang garap,0.0,0.0,4.55,0.11
1313,王保安,0.0,0.0,1.08,0.07
1314,WiTcHeR...........,0.0,0.0,1.1,0.07
1315,uangin,0.0,0.0,4.55,0.05
1316,キースおじさん,0.0,0.0,4.44,0.09
1317,sai877140,0.0,0.0,1.09,0.07
1318,shuvo,0.0,0.0,4.55,0.09
1319,yuanyang,0.0,0.0,2.33,0.07
1320,chrishan,0.0,0.0,1.1,0.07
1321,tonwinzon,0.0,0.0,1.1,0.07
1322,Ruslan Aliyev,0.0,0.0,1.1,0.07
1323,Tel Aviv,0.0,0.0,1.1,0.07
1324,zillionaire,0.0,0.0,4.44,0.08
1325,itsMega,0.0,0.0,4.44,0.08
1326,Pungky04,0.0,0.0,4.55,0.09
1327,sebi,0.0,0.0,4.55,0.09
1328,jayy,0.0,0.0,4.55,0.09
1329,Zero.,0.0,0.0,4.55,0.09
1330,Blur,0.0,0.0,4.55,0.09
1331,DedenAxie99,0.0,0.0,4.55,0.09
1332,Priyam,0.0,0.0,4.55,0.09
1333,nahid,0.0,0.0,4.55,0.09
1334,larudy,0.0,0.0,4.55,0.09
1335,! niya <3,0.0,0.0,4.55,0.09
1336,debay890,0.0,0.0,4.55,0.09
1337,ADENONA,0.0,0.0,4.55,0.09
1338,Abir,0.0,0.0,4.55,0.09
1339,AbidulHaq,0.0,0.0,4.55,0.09
1340,fortunate,0.0,0.0,4.55,0.09
1341,The orcs /saroj,0.0,0.0,4.55,0.09
1342,Zubayer,0.0,0.0,4.55,0.09
1343,umy,0.0,0.0,4.55,0.09
1344,hypadaxp,0.0,0.0,4.55,0.09
1345,cawndiez,0.0,0.0,4.55,0.09
1346,Adelio,0.0,0.0,4.55,0.09
1347,nabila,0.0,0.0,4.55,0.09
1348,528NFT,0.0,0.0,1.15,0.07
1349,aryelzeltha,0.0,0.0,4.55,0.09
1350,zeronezigg,0.0,0.0,4.55,0.08
1351,Slametfarikin,0.0,0.0,4.55,0.08
1352,sujon,0.0,0.0,4.55,0.08
1353,spidercrypto35,0.0,0.0,4.17,0.1
1354,Muller,0.0,0.0,2.27,0.08
1355,Athena-,0.0,0.0,4.55,0.08
1356,Priska999,0.0,0.0,4.55,0.08
1357,neseliol,0.0,0.0,4.44,0.09
1358,gourav,0.0,0.0,0.74,0.11
1359,LAKSHMI,0.0,0.0,4.55,0.09
1360,juno,0.0,0.0,4.55,0.08
1361,brizpaint,0.0,0.0,4.55,0.08
1362,jhonrudi,0.0,0.0,4.55,0.08
1363,Donna Churchill,0.0,0.0,4.55,0.08
1364,AndThods,0.0,0.0,4.55,0.08
1365,Dontat97,0.0,0.0,4.55,0.08
1366,Bangjayy🔓,0.0,0.0,4.55,0.08
1367,evimof69,0.0,0.0,4.55,0.08
1368,doni,0.0,0.0,4.55,0.08
1369,prall423,0.0,0.0,4.55,0.08
1370,Shiv353,0.0,0.0,4.55,0.08
1371,rayhan EngiNEART,0.0,0.0,4.55,0.08
1372,chalit01,0.0,0.0,4.55,0.08
1373,iZan_Q,0.0,0.0,4.55,0.08
1374,Zeldris,0.0,0.0,4.55,0.08
1375,MimosaX1,0.0,0.0,4.55,0.08
1376,resti,0.0,0.0,4.55,0.08
1377,Deka,0.0,0.0,4.55,0.08
1378,xregx,0.0,0.0,4.55,0.08
1379,ALADEEN,0.0,0.0,4.55,0.08
1380,Mehedi0012,0.0,0.0,4.55,0.08
1381,chiki,0.0,0.0,4.55,0.08
1382,Bhavesh2000,0.0,0.0,4.55,0.08
1383,Mukung,0.0,0.0,4.55,0.08
1384,Kangcrypto,0.0,0.0,4.55,0.08
1385,opitrebahan,0.0,0.0,4.55,0.08
1386,Ahmadrzky15,0.0,0.0,4.55,0.08
1387,window,0.0,0.0,4.55,0.08
1388,DutBrobot,0.0,0.0,4.55,0.08
1389,rakibul_hasan5,0.0,0.0,4.55,0.08
1390,DREE,0.0,0.0,4.55,0.08
1391,nandiadoth,0.0,0.0,4.55,0.08
1392,brynomore,0.0,0.0,4.55,0.08
1393,etwtehs,0.0,0.0,4.55,0.08
1394,Lesmana123,0.0,0.0,4.55,0.08
1395,antanbd971,0.0,0.0,4.55,0.08
1396,Cryptoking,0.0,0.0,4.65,0.09
1397,KuldeepPal,0.0,0.0,4.65,0.09
1398,EmreGalip,0.0,0.0,1.1,0.07
1399,yung sachi,0.0,0.5,0.74,0.15
1400,amarmohankar,0.0,0.0,4.55,0.08
1401,Deeno,0.0,0.0,4.55,0.08
1402,autoon,0.0,0.0,1.11,0.07
1403,HellstromSolveig,0.0,0.0,1.11,0.07
1404,kuangshen,0.0,0.0,1.11,0.07
1405,fzalghof,0.0,0.0,4.55,0.08
1406,erebor,0.0,0.0,1.14,0.07
1407,lunnna,0.0,0.0,4.55,0.08
1408,Septiantajir,0.0,0.0,4.55,0.08
1409,colorful.bit,0.0,0.0,1.18,0.07
1410,daniemardian,0.0,0.0,4.55,0.09
1411,asharma567,0.0,0.0,4.76,0.09
1412,Donsanana,0.0,0.0,4.55,0.08
1413,priceimpact90,0.0,0.0,4.55,0.08
1414,chesssandeep,0.0,0.0,4.55,0.08
1415,Aschannel,0.0,0.0,4.55,0.08
1416,LordItachi,0.0,0.0,4.55,0.08
1417,bising,0.0,0.0,4.55,0.08
1418,Shiikuro,0.0,0.0,4.55,0.08
1419,zyc007,0.0,0.0,1.12,0.07
1420,Aelx Z,0.0,0.0,1.12,0.07
1421,dannnnny,0.0,0.0,1.12,0.07
1422,wyxwin,0.0,0.0,1.12,0.07
1423,ripon,0.0,0.0,4.55,0.08
1424,manu,0.0,0.0,1.11,0.07
1425,牛子哥,0.0,0.0,1.14,0.07
1426,ruobanrushui,0.0,0.0,1.25,0.0
1427,imrnft,0.0,0.0,4.55,0.08
1428,muller,0.0,0.0,1.12,0.07
1429,yian,0.0,0.0,1.16,0.07
1430,destinyForyou98,0.0,0.0,2.38,0.07
1431,kaushalroy,0.0,0.17,17.91,0.1
1432,bangfix,0.0,0.0,4.55,0.08
1433,hayleycanonn,0.0,0.0,1.15,0.07
1434,ceci,0.0,0.0,1.15,0.07
1435,libapi,0.0,0.0,1.15,0.07
1436,Durimawar,0.0,0.0,4.55,0.08
1437,zexxa99,0.0,0.0,4.55,0.08
1438,ilhamtanoto,0.0,0.0,4.44,0.08
1439,Grey.Area,0.0,0.0,6.45,0.11
1440,IGL 2slow,0.0,0.0,1.72,0.09
1441,Jcorredor,0.0,0.0,4.55,0.09
1442,katon,0.0,0.0,4.55,0.08
1443,Alena22,0.0,0.0,1.16,0.07
1444,Rifai,0.0,0.0,4.55,0.08
1445,mohammadrandi,0.0,0.0,4.55,0.09
1446,Emon1100,0.0,0.0,4.55,0.09
1447,Rexsy,0.0,0.0,4.55,0.08
1448,By_Riezer,0.0,0.0,3.7,0.09
1449,j αªô,0.0,0.0,3.7,0.09
1450,! Saun,0.0,0.0,3.7,0.09
1451,Rin<3,0.0,0.0,3.7,0.09
1452,Hannah Graf,0.0,0.0,3.7,0.09
1453,stonercat2.0,0.0,0.0,4.55,0.09
1454,mohtaqiyudin,0.0,0.0,4.55,0.08
1455,Holo,0.0,0.0,17.5,0.13
1456,Bhushan987,0.0,0.0,4.55,0.09
1457,sepatuoblong,0.0,0.0,4.55,0.08
1458,coquinator,0.0,0.5,0.99,0.14
1459,Chen Alex,0.0,0.0,1.18,0.07
1460,Angelababy,0.0,0.0,1.18,0.07
1461,Bernie Carllyle,0.0,0.0,1.18,0.07
1462,lde00001,0.0,0.0,1.18,0.07
1463,YOUYOU,0.0,0.0,1.18,0.07
1464,KuliFinder,0.0,0.0,4.55,0.09
1465,zhangjianhua,0.0,0.0,1.23,0.0
1466,snowing,0.0,0.0,3.7,0.09
1467,intotheboba,0.0,0.67,1.18,0.17
1468,Dhru,0.0,0.0,1.2,0.07
1469,Yokingdao,0.0,0.0,1.19,0.07
1470,yutou,0.0,0.0,1.19,0.07
1471,littlemonkeybox,0.0,0.0,6.82,0.09
1472,≡¥ôÇ≡¥Æ╢≡¥ôÅ≡¥ôè≡¥ôÇ≡¥Æ╛.,0.0,0.0,6.82,0.09
1473,adit_kodokk,0.0,0.0,1.72,0.09
1474,Ricardo69,0.0,0.0,1.72,0.09
1475,gogo892,0.0,0.23,17.57,0.11
1476,doxy,0.0,0.0,3.85,0.09
1477,nogobing,0.0,0.0,1.2,0.07
1478,9m9curbxe,0.0,0.0,1.2,0.07
1479,Januzaj 🦝,0.0,0.0,1.2,0.09
1480,Qzgiggs,0.0,0.0,1.22,0.07
1481,Alexandz,0.0,0.0,4.55,0.08
1482,Leo Caprio,0.0,0.0,4.48,0.11
1483,Brando,0.0,0.17,12.63,0.15
1484,robertobaggio,0.0,0.0,1.23,0.07
1485,Ariadney,0.0,0.0,1.23,0.07
1486,Willette,0.0,0.0,1.23,0.07
1487,UP TANG,0.0,0.0,1.23,0.07
1488,silan,0.0,0.0,1.25,0.07
1489,Gertruda,0.0,0.0,2.63,0.08
1490,small,0.0,1.0,0.28,0.11
1491,mizunarisin,0.0,0.5,0.64,0.1
1492,Uthman,0.0,0.0,4.84,0.07
1493,LisboaNomad,0.0,0.0,7.02,0.07
1494,shohan,0.0,0.0,1.92,0.09
1495,adjakomine,0.0,0.0,4.55,0.08
1496,YF DOOM,0.0,0.5,0.7,0.1
1497,얌소,0.0,0.5,1.65,0.17
1498,Semut03,0.0,0.0,4.55,0.08
1499,kkmoe,0.0,0.0,4.55,0.08
1500,Garfield,0.0,0.33,1.12,0.09
1501,Macher,0.0,0.0,1.32,0.11
1502,astridrahadiani,0.0,0.0,4.55,0.08
1503,willon,0.0,0.0,3.92,0.1
1504,david spenser,0.0,0.0,5.77,0.0
1505,KobeSpike,0.0,0.0,1.32,0.07
1506,mandela,0.0,0.0,2.04,0.09
1507,aishazailen,0.0,0.0,4.55,0.08
1508,doloresampaio,0.0,0.0,1.92,0.09
1509,CON4N JR,0.0,0.0,4.55,0.09
1510,AmongUs3DMaker,0.0,0.0,4.55,0.09
1511,sash,0.0,0.0,4.55,0.09
1512,Mizrahn,0.0,0.0,4.55,0.09
1513,leyla,0.0,0.0,4.55,0.09
1514,Myst,0.0,0.0,4.55,0.09
1515,vexx !!,0.0,0.0,4.55,0.09
1516,Death.,0.0,0.0,4.55,0.09
1517,Mxhmet,0.0,0.0,4.55,0.09
1518,┘┤┘┤,0.0,0.0,4.55,0.09
1519,CheezCake Kissed You≡ƒÆò,0.0,0.0,4.55,0.09
1520,JV,0.0,0.0,4.55,0.09
1521,stenlycordoba,0.0,0.0,4.55,0.08
1522,koekoe,0.0,0.0,4.55,0.08
1523,youziqi93,0.0,0.0,4.35,0.1
1524,otx,0.0,0.0,5.56,0.09
1525,Marczeller | Aave,0.0,0.5,0.78,0.11
1526,anglung,0.0,0.17,4.48,0.13
1527,Vovanlist10,0.0,0.0,1.96,0.09
1528,alinaje1375,0.0,0.0,1.96,0.09
1529,dasfang,0.0,0.5,0.78,0.14
1530,Argonauta,0.0,0.0,2.0,0.09
1531,Γû₧ΓûÜ ΓûêΓùù ΓûÜΓûÿ,0.0,0.0,2.0,0.09
1532,kaykay,0.0,0.0,2.0,0.09
1533,MaisanXSkina,0.0,0.0,2.0,0.09
1534,kelvinman,0.0,0.0,2.0,0.09
1535,! pinja,0.0,0.0,2.0,0.09
1536,ZooDZ,0.0,0.0,2.0,0.09
1537,Snooky,0.0,0.0,2.0,0.09
1538,raain,0.0,0.0,2.0,0.09
1539,Conner_with_the_gas,0.0,0.0,2.0,0.09
1540,c <3,0.0,0.0,2.0,0.09
1541,!maddie,0.0,0.0,2.0,0.09
1542,akasha,0.0,0.0,2.0,0.09
1543,≡¥ô½≡¥ô«≡¥ô╡≡¥ô╡≡¥ô¬ <≡¥ƒ»,0.0,0.0,2.0,0.09
1544,Just Lucky,0.0,0.0,2.0,0.09
1545,Emp7y,0.0,0.0,2.0,0.09
1546,frok,0.0,0.0,2.0,0.09
1547,Sandymancan,0.0,0.0,2.0,0.09
1548,Dekkuo,0.0,0.0,2.0,0.09
1549,lIIlllIlllIlIIIIlllIIlllIllIIl,0.0,0.0,2.0,0.09
1550,LATI || BLACK ~WATER,0.0,0.0,2.0,0.09
1551,rifky,0.0,0.0,2.0,0.09
1552,miko !!,0.0,0.0,2.0,0.09
1553,iu╩ÅoΩÖä,0.0,0.0,2.0,0.09
1554,Medvidek≡ƒÑ╢≡ƒÑñ,0.0,0.0,2.0,0.09
1555,Haven,0.0,0.0,2.0,0.09
1556,sukker,0.0,0.0,2.0,0.09
1557,Bakadechi,0.0,0.0,2.0,0.09
1558,Despondency,0.0,0.0,2.0,0.09
1559,RIUL,0.0,0.0,2.0,0.09
1560,Roxas,0.0,0.0,2.0,0.09
1561,INTP,0.0,0.0,2.0,0.09
1562,skopur,0.0,0.0,2.0,0.09
1563,! RAG ΓÖö,0.0,0.0,2.0,0.09
1564,lucid,0.0,0.0,2.0,0.09
1565,cosmicspider504,0.0,0.0,2.0,0.09
1566,wij,0.0,0.0,2.0,0.09
1567,monkey68,0.0,0.0,2.0,0.09
1568,nigga !,0.0,0.0,2.0,0.09
1569,v4nch1k,0.0,0.0,2.0,0.09
1570,krusty,0.0,0.0,2.0,0.09
1571,Zyber,0.0,0.0,2.0,0.09
1572,HoneyHack77,0.0,0.0,2.0,0.09
1573,Sami xd,0.0,0.0,2.0,0.09
1574,vonski,0.0,0.0,2.0,0.09
1575,nukacolaplease,0.0,0.0,2.0,0.09
1576,≡ƒÜÇ anim00,0.0,0.0,2.0,0.09
1577,umuP,0.0,0.0,2.0,0.09
1578,Luizinhuu,0.0,0.0,2.0,0.09
1579,glsm,0.0,0.0,1.39,0.07
1580,aquartier,0.0,0.0,1.39,0.07
1581,piggles,0.0,0.62,2.96,0.16
1582,vitortorress14,0.0,0.0,5.88,0.09
1583,Dumitru 86,0.0,0.0,2.04,0.09
1584,danko0405,0.0,0.0,2.04,0.09
1585,Shavayu,0.0,0.0,2.04,0.09
1586,Ghendrickson,0.0,0.0,2.04,0.09
1587,zamar123,0.0,0.0,2.04,0.09
1588,chencaiyu,0.0,0.0,2.04,0.09
1589,Arvendail700801,0.0,0.0,2.04,0.09
1590,vonsoh,0.0,0.0,2.04,0.09
1591,Cesinha667,0.0,0.0,2.04,0.09
1592,mihas1302,0.0,0.0,2.04,0.09
1593,Guybrush,0.0,0.67,0.98,0.15
1594,alka,0.0,0.67,3.35,0.15
1595,Magni,0.0,0.0,1.49,0.13
1596,! Dropjawed,0.0,0.0,2.08,0.09
1597,misa<3,0.0,0.0,2.08,0.09
1598,Svensson,0.0,0.0,2.08,0.09
1599,ß┤ìß┤Åß┤ä╩£╔¬ß┤ç,0.0,0.0,2.08,0.09
1600,zshen,0.0,0.0,2.08,0.09
1601,WindAbA 12,0.0,0.0,2.08,0.09
1602,emir;,0.0,0.0,2.08,0.09
1603,yoonglesmochi,0.0,0.0,2.08,0.09
1604,Jask,0.0,0.0,2.08,0.09
1605,motcha,0.0,0.0,2.08,0.09
1606,! Diablo,0.0,0.0,2.08,0.09
1607,byraby,0.0,0.0,2.08,0.09
1608,CLS,0.0,0.0,2.08,0.09
1609,╨║╨╛╤é,0.0,0.0,2.08,0.09
1610,XGalNa,0.0,0.0,2.08,0.09
1611,Derg,0.0,0.0,2.08,0.09
1612,zaii,0.0,0.0,2.08,0.09
1613,Γ£ºNairuΓ£º,0.0,0.0,2.08,0.09
1614,k7mi,0.0,0.0,2.08,0.09
1615,red puffle,0.0,0.0,2.08,0.09
1616,∞╜ö∞òîδ¥╝,0.0,0.0,2.08,0.09
1617,Beluga ._.,0.0,0.0,2.08,0.09
1618,bj'sfanqwq,0.0,0.0,2.08,0.09
1619,4nG Jzy,0.0,0.0,2.08,0.09
1620,FOXY┌⌐,0.0,0.0,2.08,0.09
1621,Kassy,0.0,0.0,2.08,0.09
1622,GregoryD,0.0,0.0,2.08,0.09
1623,pochita,0.0,0.0,2.08,0.09
1624,xi,0.0,0.0,2.08,0.09
1625,Hotter <3,0.0,0.0,2.08,0.09
1626,DAVER,0.0,0.0,2.08,0.09
1627,0 0 4,0.0,0.0,2.08,0.09
1628,Leonbuyscheats,0.0,0.0,2.08,0.09
1629,FNE1 Lixcs,0.0,0.0,2.08,0.09
1630,Meg ≡ƒÄÇ,0.0,0.0,2.08,0.09
1631,<$!,0.0,0.0,2.08,0.09
1632,Arein,0.0,0.0,2.08,0.09
1633,ravinder,0.0,0.0,2.08,0.09
1634,jhin,0.0,0.0,2.08,0.09
1635,≡¥ûà≡¥ûö≡¥ûè,0.0,0.0,2.08,0.09
1636,naxitaexotica,0.0,0.0,2.08,0.09
1637,jere !!,0.0,0.0,2.08,0.09
1638,! ß╡Åß╡û╦ó Wraith,0.0,0.0,2.08,0.09
1639,Solembum the Shapeshifter,0.0,0.0,2.08,0.09
1640,Angelowo,0.0,0.0,2.08,0.09
1641,petjack,0.0,0.0,2.08,0.09
1642,BitBetter,0.0,0.0,2.08,0.09
1643,uh ok,0.0,0.0,2.08,0.09
1644,gky,0.0,0.0,2.08,0.09
1645,GIV ME SKEET,0.0,0.0,2.08,0.09
1646,jazzy,0.0,0.0,2.08,0.09
1647,Somebody,0.0,0.0,2.08,0.09
1648,BUTTERFLY,0.0,0.0,2.08,0.09
1649,Causal Thief,0.0,0.0,2.08,0.09
1650,Sae,0.0,0.0,2.08,0.09
1651,Daisha Stehr,0.0,0.0,2.08,0.09
1652,kOtarO,0.0,0.0,2.08,0.09
1653,Notorious84,0.0,0.0,1.49,0.07
1654,sita,0.0,0.0,4.55,0.08
1655,Wahyu,0.0,0.0,4.55,0.08
1656,BentonAsh,0.0,0.0,2.13,0.09
1657,Thocoin,0.0,0.75,1.44,0.15
1658,goatronic,0.0,0.0,2.13,0.09
1659,Loveallday,0.0,0.0,2.13,0.09
1660,ItsmeShivaK,0.0,0.0,2.13,0.09
1661,Ro THORChad,0.0,0.0,2.13,0.09
1662,mabix,0.0,0.0,2.13,0.09
1663,Rupali,0.0,0.0,2.13,0.09
1664,Austin.,0.0,0.0,2.13,0.09
1665,Aleksandr19071888,0.0,0.0,2.13,0.09
1666,crype66,0.0,0.0,2.13,0.09
1667,j ——— ✨,0.0,0.0,1.47,0.07
1668,RahnQard,0.0,0.0,2.27,0.09
1669,Codyblaze,0.0,0.0,2.27,0.09
1670,𝓹𝓮𝓽𝓮𝓻𝓹𝓪𝓻𝓴𝓮𝓻,0.0,0.0,2.27,0.09
1671,j2,0.0,0.0,2.17,0.09
1672,CryForDayz,0.0,0.0,2.17,0.09
1673,Dimpi,0.0,0.0,2.17,0.09
1674,INVICTUS,0.0,0.0,2.17,0.09
1675,ash|inthewild,0.0,0.0,2.17,0.09
1676,yildo89,0.0,0.0,2.17,0.09
1677,Your Avatar,0.0,0.0,2.17,0.09
